#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
6150	177	0.090%	24714	12.607%	1089353	0.135%	175010861	21.625%
6160	197	0.100%	24537	12.517%	1214352	0.150%	173921508	21.490%
6170	196	0.100%	24340	12.416%	1210174	0.150%	172707156	21.340%
6180	186	0.095%	24144	12.316%	1150346	0.142%	171496982	21.191%
6190	207	0.106%	23958	12.222%	1282309	0.158%	170346636	21.049%
6200	208	0.106%	23751	12.116%	1290561	0.159%	169064327	20.890%
6210	206	0.105%	23543	12.010%	1280210	0.158%	167773766	20.731%
6220	199	0.102%	23337	11.905%	1238617	0.153%	166493556	20.573%
6230	195	0.099%	23138	11.803%	1215695	0.150%	165254939	20.420%
6240	177	0.090%	22943	11.704%	1105296	0.137%	164039244	20.269%
6250	194	0.099%	22766	11.613%	1213454	0.150%	162933948	20.133%
6260	192	0.098%	22572	11.515%	1202744	0.149%	161720494	19.983%
6270	189	0.096%	22380	11.417%	1185905	0.147%	160517750	19.834%
6280	203	0.104%	22191	11.320%	1275681	0.158%	159331845	19.688%
6290	196	0.100%	21988	11.217%	1233716	0.152%	158056164	19.530%
6300	218	0.111%	21792	11.117%	1374383	0.170%	156822448	19.378%
6310	193	0.098%	21574	11.005%	1218726	0.151%	155448065	19.208%
6320	210	0.107%	21381	10.907%	1328117	0.164%	154229339	19.057%
6330	197	0.100%	21171	10.800%	1247878	0.154%	152901222	18.893%
6340	184	0.094%	20974	10.699%	1167382	0.144%	151653344	18.739%
6350	198	0.101%	20790	10.605%	1258188	0.155%	150485962	18.595%
6360	187	0.095%	20592	10.504%	1190079	0.147%	149227774	18.439%
6370	171	0.087%	20405	10.409%	1090058	0.135%	148037695	18.292%
6380	175	0.089%	20234	10.322%	1117256	0.138%	146947637	18.157%
